Name,S1 Points,S2 Points,S3 Points,S4 Points,S5 Points,S6 Points
Gerd-Clasha,0.0,379.0,324.0,216.0,100.0,0.0
Blackie,0.0,0.0,0.0,0.0,0.0,250.0
Sova4u,1120.0,241.0,0.0,0.0,0.0,0.0
Tina,1490.0,717.0,1080.0,818.0,567.0,1139.0
Ashton,886.0,2100.0,3630.0,3330.0,2860.0,2360.0
2ndHand Lion,625.0,930.0,456.0,128.0,16.0,0.0
Sherm,4440.0,4870.0,6450.0,3880.0,3130.0,9950.0
Michael,1390.0,1460.0,2090.0,3680.0,2320.0,4310.0
LuckyGirl2,1770.0,1510.0,1820.0,3080.0,4180.0,6770.0
Whackhead,795.0,953.0,944.0,32.0,0.0,0.0
Dewlap,2010.0,1900.0,1920.0,896.0,0.0,0.0
Betterwetter,2730.0,2080.0,2250.0,0.0,0.0,0.0
Venician3,0.0,0.0,503.0,0.0,0.0,0.0
LuckyGirl,0.0,0.0,0.0,0.0,0.0,1750.0
Dennis,1140.0,588.0,472.0,157.0,479.0,356.0
Zephyr2,420.0,2580.0,3240.0,2480.0,1720.0,5890.0
Cal,0.0,0.0,1130.0,890.0,0.0,0.0
Corey,1090.0,656.0,854.0,552.0,595.0,100.0
Robin,3180.0,3690.0,2450.0,2640.0,1780.0,1820.0
Victor,685.0,1270.0,760.0,1210.0,241.0,791.0
Rhyno,4.0,70.0,14.0,0.0,0.0,0.0
GCJimmy,622.0,962.0,466.0,311.0,1390.0,751.0
Brooke,46.0,683.0,979.0,822.0,895.0,1719.0
Jason,0.0,0.0,788.0,15.0,489.0,0.0
Jason,0.0,286.0,696.0,235.0,91.0,0.0
TofuDaLegend,0.0,336.0,0.0,0.0,0.0,0.0
Brandon22,533.0,433.0,627.0,30.0,10.0,20.0
Davis,159.0,258.0,706.0,522.0,248.0,30.0
BK84,321.0,397.0,322.0,162.0,6.0,0.0
Graciebear,0.0,0.0,0.0,0.0,7.0,0.0
TrippinMocha,38.0,95.0,0.0,0.0,0.0,0.0
Go2urhome!!!,0.0,0.0,12980.0,10190.0,8850.0,0.0
Brian,1420.0,954.0,914.0,90.0,1460.0,1810.0
SirSliceAlot,2060.0,1970.0,1640.0,0.0,0.0,0.0
Rory,2350.0,920.0,5270.0,3610.0,639.0,12930.0
Curtis,306.0,605.0,950.0,573.0,441.0,290.0
Falcon,0.0,5390.0,4360.0,4060.0,7160.0,0.0
Steve C,830.0,765.0,768.0,569.0,732.0,352.0
Whole N Juan,592.0,1100.0,533.0,395.0,912.0,568.0
Buddy,565.0,955.0,1280.0,1210.0,1020.0,1990.0
Martin,993.0,1500.0,2210.0,5840.0,2680.0,895.0
Jonathan,6610.0,7940.0,9910.0,9950.0,10100.0,0.0
NoWinForYou,150.0,665.0,170.0,90.0,176.0,272.0
Neal3,0.0,0.0,420.0,0.0,0.0,0.0
Dave,1940.0,1370.0,2660.0,1880.0,2510.0,2020.0
Dave Jr.,147.0,120.0,310.0,180.0,200.0,0.0
Scott,0.0,5190.0,3010.0,2360.0,0.0,0.0
Found it!,4720.0,3790.0,1940.0,2630.0,1840.0,595.0
John,890.0,1400.0,658.0,236.0,433.0,499.0
Craig,1830.0,989.0,6000.0,1860.0,2500.0,3080.0
